"","StefanoR2","Wanlip4","Dalderse","Galashiels","Slough","BURMAD","StefanoR1","StefanoR3","Stirling","Wanlip1","CRMAD","Wanlip3","BROMAD","Reading","MapleLodge","EPMAD","BLMAD","Wanlip2","Hawick","Howdon","DAVMAD","BranSands"
"145205",3,1,10,28,191,1,14,2,6,3,3,0,0,0,0,0,0,0,0,0,0,0
"114072",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"583853",2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"663103",18,3,9,10,0,1,16,46,10,19,5,0,0,0,30,44,0,0,189,0,0,0
"543471",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"3976478",0,0,1,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
"2946778",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60011",0,0,0,2,1,1,0,0,3,0,0,1,0,0,2,2,0,0,0,0,0,0
"568241",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"202040",1,1,39,2,0,0,0,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0
"4380503",1,1,1,2,1,3,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"238462",3,1,0,1,0,0,2,1,1,3,0,2,0,0,4,0,0,0,0,0,0,0
"4392165",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"694538",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"4333486",27,152,107,40,152,34,40,27,230,263,89,251,35,0,1,6,6,220,9,0,0,2
"10760",1,1,0,0,0,0,2,2,0,8,9,5,2,0,3,0,0,13,0,0,0,0
"576874",0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4302087",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90296",0,3,0,0,0,0,1,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0
"2466938",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"4336414",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"4202226",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
